,date,countryName,confirmedCount,nowconfirmedCount,curedCount,deadCount,countryShortEnglishName,countryEnglishName,deadRate,curedRate
342,2020-01-23,博茨瓦纳,0,0,0,0,Botswana,Botswana,,
343,2020-01-23,海地,0,0,0,0,Haiti,Haiti,,
344,2020-01-23,苏丹,0,0,0,0,Sudan,Sudan,,
345,2020-01-23,匈牙利,0,0,0,0,Hungary,Hungary,,
346,2020-01-23,吉尔吉斯斯坦,0,0,0,0,Kyrgyzstan,not value,,
347,2020-01-23,瓜德罗普岛,0,0,0,0,not value,not value,,
348,2020-01-23,索马里,0,0,0,0,Somalia,Somali,,
349,2020-01-23,秘鲁,0,0,0,0,Peru,Peru,,
350,2020-01-23,巴拿马,0,0,0,0,Panama,Panama,,
351,2020-01-23,泰国,0,0,0,0,Thailand,Thailand,,
352,2020-01-23,特立尼达和多巴哥,0,0,0,0,Trinidad and Tobago,Trinidad and Tobago,,
353,2020-01-23,哥伦比亚,0,0,0,0,Colombia,Colombia,,
354,2020-01-23,摩纳哥,0,0,0,0,Monaco,Monaco,,
355,2020-01-23,坦桑尼亚,0,0,0,0,Tanzania,Tanzania,,
356,2020-01-23,拉脱维亚,0,0,0,0,Latvia,Latvia,,
357,2020-01-23,柬埔寨,0,0,0,0,Cambodia,Kampuchea (Cambodia ),,
358,2020-01-23,科索沃,0,0,0,0,not value,not value,,
359,2020-01-23,东帝汶,0,0,0,0,Timor-Leste,not value,,
360,2020-01-23,阿鲁巴,0,0,0,0,not value,not value,,
361,2020-01-23,中国,639,592,30,17,China,China,2.660406885758998,4.694835680751173
362,2020-01-23,伊拉克,0,0,0,0,Iraq,Iraq,,
363,2020-01-23,尼日利亚,0,0,0,0,Nigeria,Nigeria,,
364,2020-01-23,卡塔尔,0,0,0,0,Qatar,Qatar,,
